Date,Opponent,Map,Score
2026-04-09,Wolves,Tunisia,9-6
2026-04-09,ALU,Arsenal,184-250
2026-04-09,ALU,Takeoff,191-250
2026-04-09,ALU,Slums,9-8
2026-04-09,ALU,Firing Range,6-9
2026-04-11,ALU,Coastal,6-9
2026-04-11,ALU,Slums,8-9
2026-04-11,ELV,Meltdown,4-9
2026-04-11,ELV,Tunisia,6-9
2026-04-11,ELV,Combine,250-187
2026-04-11,ELV,Standoff,4-2
2026-04-11,ELV,Crossroads Strike,4-2
2026-04-11,ELV,Summit,169-250
2026-04-12,ALU,Takeoff,250-244
2026-04-12,ALU,Hacienda,222-250
2026-04-14,Q9,Takeoff,250-200
2026-04-14,Q9,Arsenal,148-250
2026-04-14,Q9,Standoff,2-4
2026-04-14,Q9,Raid,4-1
2026-04-14,Q9,Tunisia,8-9
2026-04-14,Q9,Firing Range,7-6
2026-04-14,OUG,Combine,205-250
2026-04-14,OUG,Summit,175-250
2026-04-14,OUG,Standoff,3-4
2026-04-14,OUG,Crossroads Strike,4-0
2026-04-14,OUG,Coastal,7-5
2026-04-14,OUG,Slums,7-4
2026-04-15,Wolves,Hacienda,250-197
2026-04-15,Wolves,Summit,250-217
2026-04-15,Wolves,Arsenal,250-211
2026-04-15,Wolves,Standoff,4-3
2026-04-15,Wolves,Crossroads Strike,2-4
2026-04-15,Wolves,Tunisia,5-9
2026-04-15,Wolves,Coastal,9-7
2026-04-15,ELV,Takeoff,250-206
2026-04-15,ELV,Arsenal,250-133
2026-04-15,ELV,Firing Range,8-9
2026-04-15,ELV,Slums,7-9
2026-04-21,ALU,Hacienda,95-250
2026-04-21,ALU,Coastal,7-9
2026-04-21,ALU,Standoff,1-4
2026-04-21,ALU,Arsenal,204-250
2026-04-21,ALU,Slums,5-9
2026-04-21,OUG,Takeoff,250-216
2026-04-21,OUG,Combine,241-250
2026-04-21,OUG,Standoff,4-3
2026-04-21,OUG,Raid,4-1
2026-04-21,OUG,Tunisia,6-9
2026-04-21,OUG,Firing Range,7-9
