date,team1,team2,two_v_two_winner,slot,map_name,winner,winner_score,loser_score,series_winner,picked_by
2026-03-21,Q9,Wolves,Wolves,3,Crossroads Strike,Q9,4,2
2026-03-21,GL,HF,GL,1,Coastal,GL,9,5
2026-03-21,GL,HF,GL,2,Takeoff,GL,250,95
2026-03-21,GL,HF,GL,3,Crossroads Strike,GL,4,0
2026-03-22,ETs,SPG,ETs,1,Meltdown,SPG,10,8
2026-03-22,ETs,SPG,ETs,2,Takeoff,SPG,250,111
2026-03-22,ETs,SPG,ETs,3,Crossroads Strike,SPG,4,3
2026-03-22,TSM,ALU,ALU,1,Slums,ALU,9,2
2026-03-22,TSM,ALU,ALU,2,Takeoff,ALU,250,84
2026-03-22,TSM,ALU,ALU,3,Crossroads Strike,ALU,4,1
2026-03-22,GAL,Q9,Q9,1,Tunisia,GAL,10,8
2026-03-22,GAL,Q9,Q9,2,Summit,Q9,250,127
2026-03-22,GAL,Q9,Q9,3,Standoff,Q9,4,0
2026-03-22,GAL,Q9,Q9,4,Firing Range,GAL,9,2
2026-03-22,GAL,Q9,Q9,5,Takeoff,GAL,250,227,,Q9
2026-03-22,Wolves,GAL,Wolves,1,Tunisia,GAL,9,7
2026-03-22,Wolves,GAL,Wolves,2,Summit,GAL,250,207
2026-03-22,Wolves,GAL,Wolves,3,Raid,GAL,4,1
2026-03-26,XROCK,HF,XROCK,1,Firing Range,XROCK,9,7
2026-03-26,XROCK,HF,XROCK,2,Takeoff,XROCK,250,230
2026-03-26,XROCK,HF,XROCK,3,Crossroads Strike,XROCK,4,1
2026-03-26,GAL,ETs,GAL,1,Slums,GAL,9,5
2026-03-26,GAL,ETs,GAL,2,Summit,GAL,250,107
2026-03-26,GAL,ETs,GAL,3,Crossroads Strike,GAL,4,0
2026-03-26,TSM,Felines,TSM,1,Meltdown,TSM,9,2
2026-03-26,TSM,Felines,TSM,2,Arsenal,TSM,250,103
2026-03-26,TSM,Felines,TSM,3,Standoff,TSM,4,0
2026-03-26,GL,Wolves,Wolves,1,Firing Range,Wolves,9,1
2026-03-26,GL,Wolves,Wolves,2,Hacienda,Wolves,250,150
2026-03-26,GL,Wolves,Wolves,3,Raid,Wolves,4,3
2026-03-27,ALU,Felines,ALU,1,Coastal,ALU,9,4
2026-03-27,ALU,Felines,ALU,2,Takeoff,ALU,250,88
2026-03-27,ALU,Felines,ALU,3,Raid,ALU,4,0
2026-03-27,TSM,ETs,TSM,1,Tunisia,TSM,9,2
2026-03-27,TSM,ETs,TSM,2,Hacienda,TSM,250,152
2026-03-27,TSM,ETs,TSM,3,Raid,TSM,4,1
2026-03-27,XROCK,GL,XROCK,1,Coastal,GL,9,7
2026-03-27,XROCK,GL,XROCK,2,Combine,GL,250,240
2026-03-27,XROCK,GL,XROCK,3,Crossroads Strike,GL,4,1
2026-03-27,Wolves,HF,Wolves,1,Tunisia,Wolves,9,3
2026-03-27,Wolves,HF,Wolves,2,Takeoff,Wolves,250,110
2026-03-27,Wolves,HF,Wolves,3,Crossroads Strike,Wolves,4,0
2026-03-28,ALU,SPG,SPG,1,Coastal,ALU,9,4
2026-03-28,ALU,SPG,SPG,2,Summit,ALU,250,85
2026-03-28,ALU,SPG,SPG,3,Crossroads Strike,ALU,4,0
2026-03-28,DVS,ELV,DVS,1,Tunisia,ELV,9,7
2026-03-28,DVS,ELV,DVS,2,Combine,DVS,250,209
2026-03-28,DVS,ELV,DVS,3,Crossroads Strike,ELV,4,1
2026-03-28,DVS,ELV,DVS,4,Firing Range,DVS,9,3
2026-03-28,DVS,ELV,DVS,5,Hacienda,ELV,250,171,,ELV
2026-03-28,OUG,Q9,Q9,1,Tunisia,Q9,9,7
2026-03-28,OUG,Q9,Q9,2,Combine,OUG,250,188
2026-03-28,OUG,Q9,Q9,3,Crossroads Strike,OUG,4,0
2026-03-28,OUG,Q9,Q9,4,Firing Range,Q9,9,6
2026-03-28,OUG,Q9,Q9,5,Summit,Q9,250,233,,Q9
2026-03-28,GAL,Felines,GAL,1,Coastal,GAL,9,4
2026-03-28,GAL,Felines,GAL,2,Hacienda,GAL,250,168
2026-03-28,GAL,Felines,GAL,3,Raid,GAL,4,0
2026-03-29,GAL,ELV,ELV,1,Meltdown,ELV,12,10
2026-03-29,GAL,ELV,ELV,2,Combine,ELV,250,217
2026-03-29,GAL,ELV,ELV,3,Raid,ELV,4,0
2026-03-29,OUG,SPG,SPG,1,Firing Range,OUG,9,3
2026-03-29,OUG,SPG,SPG,2,Summit,OUG,250,85
2026-03-29,OUG,SPG,SPG,3,Crossroads Strike,OUG,4,1
2026-03-29,Q9,HF,Q9,1,Tunisia,Q9,9,2
2026-03-29,Q9,HF,Q9,2,Takeoff,Q9,250,193
2026-03-29,Q9,HF,Q9,3,Standoff,Q9,4,1
2026-03-29,DVS,TSM,DVS,1,Tunisia,DVS,9,2
2026-03-29,DVS,TSM,DVS,2,Arsenal,TSM,250,214
2026-03-29,DVS,TSM,DVS,3,Raid,DVS,4,0
2026-03-29,DVS,TSM,DVS,4,Slums,DVS,9,5
2026-04-02,OUG,GAL,OUG,1,Slums,OUG,9,3
2026-04-02,OUG,GAL,OUG,2,Combine,GAL,250,193
2026-04-02,OUG,GAL,OUG,3,Raid,GAL,4,3
